"is_apartment","is_house","less_than_10_years_old","more_than_20_years_old","between_10_and_20_years_old","garages","administration_price","baths","lat","lng","price","price_m2","rooms","total_area_m2"
1,0,1,0,0,2,490000,4,4.724356651306152,-74.03252410888672,660000000,5840707.0,3,113.0
1,0,0,0,1,1,200000,2,4.758999824523926,-74.04900360107422,430000000,5119047.0,3,84.0
1,0,0,1,0,1,240000,2,4.705022811889648,-74.02458953857422,275000000,4583333.0,3,60.0
1,0,0,1,0,1,312000,2,4.726789951324463,-74.04725646972656,420000000,5121951.0,3,82.0
1,0,1,0,0,1,240000,2,4.7450995445251465,-74.02595520019531,370000000,4743589.0,3,78.0
1,0,1,0,0,2,380000,2,4.66057014465332,-74.1036605834961,750000000,7075471.0,3,106.0
1,0,0,0,1,1,488800,2,4.636661529541016,-74.07561492919922,462000000,6000000.0,2,77.0
1,0,0,1,0,1,306000,2,4.739522933959961,-74.04450988769531,355000000,4671052.0,2,76.0
0,1,0,1,0,2,50000,4,4.743462085723877,-74.08814239501953,690000000,5036496.0,3,137.0
1,0,0,1,0,1,179700,2,4.7256669998168945,-74.05917358398438,253000000,4773584.0,2,53.0
1,0,1,0,0,1,292000,2,4.7200517654418945,-74.12505340576172,290000000,4603174.0,3,63.0
0,1,0,1,0,2,658600,4,4.7178747130000716,-74.02930077199994,790000000,4114583.0,3,192.0
1,0,1,0,0,1,320000,2,4.67020320892334,-74.1044692993164,379000000,5830769.0,2,65.0
1,0,0,0,1,1,312000,2,4.733335971832275,-74.03817749023438,450000000,5000000.0,3,90.0
1,0,0,0,1,1,267000,2,4.640155792236328,-74.12686920166016,395000000,4647058.0,3,85.0
0,1,0,1,0,1,300000,4,4.7407379150390625,-74.03392791748047,405000000,4500000.0,4,90.0
0,1,0,1,0,3,120000,3,4.663265705108643,-74.12631225585938,852000000,4580645.0,4,186.0
1,0,1,0,0,1,265000,3,4.721595764160156,-74.12840270996094,425000000,4722222.0,3,90.0
1,0,0,1,0,1,221000,2,4.598055839538574,-74.07584381103516,590000000,5959595.0,3,99.0
1,0,1,0,0,1,392000,2,4.635745048522949,-74.06572723388672,450000000,6250000.0,2,72.0
1,0,0,0,1,1,276000,2,4.75593376159668,-74.03831481933594,360000000,4675324.0,3,77.0
1,0,0,1,0,1,400000,2,4.679577827453613,-74.07513427734375,470000000,3916666.0,3,120.0
0,1,0,1,0,1,217000,2,4.738722801208496,-74.06240844726562,330000000,4520547.0,3,73.0
1,0,0,1,0,1,339000,2,4.704824924468994,-74.0251693725586,320000000,4444444.0,3,72.0
1,0,0,1,0,1,216000,2,4.741243839263916,-74.03668212890625,250000000,4098360.0,3,61.0
1,0,1,0,0,1,250000,2,4.623210906982422,-74.12503814697266,340000000,4857142.0,3,70.0
1,0,1,0,0,1,330000,2,4.625529766082764,-74.08521270751953,550000000,7638888.0,2,72.0
1,0,1,0,0,1,307000,1,4.641419887542725,-74.06511688232422,315000000,6702127.0,2,47.0
1,0,0,0,1,2,560000,2,4.6179962158203125,-74.07048034667969,798235700,7602244.0,2,105.0
1,0,1,0,0,2,493700,3,4.7457733154296875,-74.0250244140625,670000000,4751773.0,4,141.0
1,0,0,1,0,1,405000,2,4.643400192260742,-74.07926177978516,465000000,4115044.0,3,113.0
1,0,0,0,1,1,450000,2,4.692285537719727,-74.04684448242188,331000000,5516666.0,1,60.0
1,0,0,0,1,0,158000,1,4.632476806640625,-74.08831024169922,235000000,4607843.0,2,51.0
1,0,1,0,0,0,170000,2,4.656101226806641,-74.12619018554688,240000000,5333333.0,2,45.0
1,0,0,1,0,1,259000,1,4.719081878662109,-74.03558349609375,249000000,5297872.0,2,47.0
1,0,1,0,0,0,166000,2,4.65728235244751,-74.12481689453125,250000000,5555555.0,2,45.0
1,0,1,0,0,2,300000,2,4.679854869842529,-74.06202697753906,650000000,6565656.0,2,99.0
1,0,0,0,1,2,357000,3,4.732127666473389,-74.04254150390625,520000000,5306122.0,3,98.0
1,0,0,1,0,2,492000,2,4.72023344039917,-74.0331802368164,440000000,4356435.0,3,101.0
1,0,1,0,0,2,305100,2,4.751538276672363,-74.03797912597656,420000000,4158415.0,3,101.0
1,0,0,1,0,1,336000,2,4.716746807098389,-74.07089233398438,275000000,4508196.0,3,61.0
1,0,0,1,0,1,491000,3,4.643645286560059,-74.08138275146484,570000000,4351145.0,4,131.0
1,0,0,1,0,1,393000,3,4.645937919616699,-74.08428955078125,570000000,5377358.0,3,106.0
